,action_type,combined_shot_type,loc_x,loc_y,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_name,matchup,opponent,year
0,Jump Shot,Jump Shot,-157,0,10,1,0,2000-01,22,15,Miss,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ POR,POR,2000
1,Jump Shot,Jump Shot,-101,135,7,1,0,2000-01,45,16,Hit,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ POR,POR,2000
2,Jump Shot,Jump Shot,138,175,6,1,0,2000-01,52,22,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ POR,POR,2000
3,Driving Dunk Shot,Dunk,0,0,6,2,0,2000-01,19,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ POR,POR,2000
4,Jump Shot,Jump Shot,-145,-11,9,3,0,2000-01,32,14,Miss,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ POR,POR,2000
5,Layup Shot,Layup,0,0,8,3,0,2000-01,52,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ POR,POR,2000
6,Jump Shot,Jump Shot,-65,108,6,3,0,2000-01,12,12,Hit,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL @ POR,POR,2000
7,Running Jump Shot,Jump Shot,-33,125,3,3,0,2000-01,36,12,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL @ POR,POR,2000
8,Jump Shot,Jump Shot,-94,238,1,3,0,2000-01,56,25,Miss,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL @ POR,POR,2000
9,Jump Shot,Jump Shot,121,127,11,1,0,2000-01,0,17,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
10,Running Jump Shot,Jump Shot,-67,110,7,1,0,2000-01,9,12,Hit,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
11,Jump Shot,Jump Shot,-94,4,2,1,0,2000-01,44,9,Miss,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
12,Jump Shot,Jump Shot,-23,47,1,1,0,2000-01,16,5,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
13,Jump Shot,Jump Shot,62,192,0,1,0,2000-01,48,20,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
14,Jump Shot,Jump Shot,-117,226,8,2,0,2000-01,50,25,Hit,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
15,Jump Shot,Jump Shot,-132,97,11,3,0,2000-01,29,16,Miss,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
16,Jump Shot,Jump Shot,3,144,10,3,0,2000-01,8,14,Miss,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
17,Jump Shot,Jump Shot,134,127,9,3,0,2000-01,4,18,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
18,Running Jump Shot,Jump Shot,-16,110,7,3,0,2000-01,57,11,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
19,Running Jump Shot,Jump Shot,-109,150,5,3,0,2000-01,47,18,Hit,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
20,Running Jump Shot,Jump Shot,-46,63,5,3,0,2000-01,11,7,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
21,Layup Shot,Layup,0,0,2,3,0,2000-01,36,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
22,Jump Shot,Jump Shot,-58,196,2,3,0,2000-01,4,20,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
23,Jump Shot,Jump Shot,-183,186,0,3,0,2000-01,30,26,Miss,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
24,Jump Shot,Jump Shot,85,173,8,4,0,2000-01,19,19,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
25,Jump Shot,Jump Shot,3,87,6,4,0,2000-01,22,8,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
26,Running Jump Shot,Jump Shot,121,4,1,4,0,2000-01,20,12,Hit,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
27,Jump Shot,Jump Shot,127,34,0,4,0,2000-01,30,13,Miss,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. UTA,UTA,2000
28,Jump Shot,Jump Shot,91,184,3,2,0,2000-01,30,20,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ VAN,VAN,2000
29,Jump Shot,Jump Shot,-27,272,0,2,0,2000-01,4,27,Hit,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL @ VAN,VAN,2000
30,Jump Shot,Jump Shot,-176,66,11,3,0,2000-01,12,18,Miss,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ VAN,VAN,2000
31,Layup Shot,Layup,7,4,10,3,0,2000-01,13,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ VAN,VAN,2000
32,Jump Shot,Jump Shot,150,133,8,3,0,2000-01,59,20,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ VAN,VAN,2000
