year,opponent,2PT Field Goal,3PT Field Goal
1996,BOS,0.333333333,0
1996,CHA,0.454545455,0.333333333
1996,CHI,0.4,0.5
1996,CLE,0.333333333,0.333333333
1996,DAL,0.411764706,0.142857143
1996,DEN,0.3125,0.6
1996,DET,0.5,0.75
1996,GSW,0.818181818,0.6
1996,HOU,0.6,0
1996,IND,0.5,0
1996,LAC,0.315789474,0.428571429
1996,MIA,0.5,0
1996,MIL,0.555555556,0.333333333
1996,MIN,0.333333333,0.2
1996,NJN,0.6,0.5
1996,ORL,0.6,0
1996,PHI,0.4,0.5
1996,PHX,0.5,0.666666667
1996,POR,0.5,0.5
1996,SAC,0.727272727,0
1996,SAS,0.8,0.285714286
1996,SEA,0.5,1
1996,TOR,0,0.333333333
1996,UTA,0.333333333,0.222222222
1996,VAN,0.571428571,0.25
1996,WAS,0.333333333,0
1997,ATL,0.5,0.6
1997,BOS,0.533333333,0.333333333
1997,CHA,0.285714286,0
1997,CHI,0.526315789,0.5
1997,CLE,0.333333333,0.5
1997,DAL,0.583333333,0.454545455
1997,DEN,0.571428571,0.428571429
1997,DET,0.4,0
1997,GSW,0.512820513,0.75
1997,HOU,0.5,0.375
1997,IND,0.25,0
1997,LAC,0.421052632,0.272727273
1997,MIA,0.444444444,0.4
1997,MIL,0.375,0.5
1997,MIN,0.459459459,0.285714286
1997,NJN,0.625,0.2
1997,NYK,0.25,0.2
1997,ORL,0.416666667,0.75
1997,PHI,0.466666667,0.428571429
1997,PHX,0.318181818,0.384615385
1997,POR,0.446428571,0.6
1997,SAC,0.346153846,0
1997,SAS,0.384615385,0.2
1997,SEA,0.454545455,0.3
1997,TOR,0.545454545,0.5
1997,UTA,0.469387755,0.058823529
1997,VAN,0.523809524,0.5
1997,WAS,0.384615385,0
1998,CHA,0.545454545,0
1998,CLE,0.4,0
1998,DAL,0.451612903,0
1998,DEN,0.5,0.714285714
1998,GSW,0.485714286,0.6
1998,HOU,0.409638554,0.388888889
1998,IND,0.571428571,0.25
1998,LAC,0.535714286,0
1998,MIN,0.516129032,0.142857143
1998,NYK,0.555555556,0
1998,ORL,0.588235294,1
1998,PHI,0.7,0.333333333
1998,PHX,0.467741935,0
1998,POR,0.457142857,0.222222222
1998,SAC,0.647058824,0.25
1998,SAS,0.452631579,0.214285714
1998,SEA,0.509803922,0.181818182
1998,UTA,0.511627907,0.25
1998,VAN,0.483870968,0
1999,ATL,0.615384615,0
1999,BOS,0.5,1
1999,CHA,0.44,0
1999,CHI,0.555555556,0.5
1999,CLE,0.458333333,0.2
1999,DAL,0.407407407,0.333333333
1999,DEN,0.529411765,0.428571429
1999,DET,0.46875,0
1999,GSW,0.422222222,0.2
1999,HOU,0.464285714,0.2
1999,IND,0.409638554,0.230769231
1999,LAC,0.542372881,0.2
1999,MIA,0.392857143,0.333333333
1999,MIL,0.541666667,0.2
1999,MIN,0.456140351,0.363636364
1999,NJN,0.5625,0
1999,NYK,0.36,0.25
1999,ORL,0.466666667,0.75
1999,PHI,0.5,0
1999,PHX,0.518987342,0.214285714
1999,POR,0.47706422,0.416666667
1999,SAC,0.593103448,0.391304348
1999,SAS,0.409090909,0.285714286
1999,SEA,0.487179487,0.272727273
1999,TOR,0.5,0
1999,UTA,0.423076923,0.333333333
1999,VAN,0.575,0.333333333
1999,WAS,0.263157895,0
2000,ATL,0.4,0
2000,CHA,0.46875,0
2000,CHI,0.368421053,0
2000,CLE,0.432432432,0
2000,DAL,0.509803922,0.5
2000,DEN,0.543859649,0.5
2000,DET,0.58974359,0.428571429
2000,GSW,0.558823529,0.454545455
2000,HOU,0.577464789,0.5
2000,IND,0.411764706,0.428571429
2000,LAC,0.568181818,0.3125
2000,MIA,0.459459459,0.2
2000,MIL,0.272727273,0.375
2000,MIN,0.530612245,0.666666667
2000,NJN,0.5625,0.25
2000,NYK,0.45,0.2
2000,ORL,0.214285714,0
